/home/mmuhleth/discrete_diffusion_graph/utils/graphs.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_matrix = loss_matrix * (1-2*torch.tensor(sigma_list).unsqueeze(-1).unsqueeze(-2).expand(grad_log_q_noise_list.size(0),grad_log_q_noise_list.size(1),grad_log_q_noise_list.size(2)).to(device)+1.0/len(sigma_list))
Epoch 1/1000, Loss: 0.10524372523650527
/home/mmuhleth/miniconda3/envs/py38/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:156: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Epoch 2/1000, Loss: 0.6789583768695593
Epoch 3/1000, Loss: 2.3996007218956947
Epoch 4/1000, Loss: 0.14833557326346636
Epoch 5/1000, Loss: 0.11432425491511822
Epoch 6/1000, Loss: 0.0866371737793088
Epoch 7/1000, Loss: 0.2205123556777835
Epoch 8/1000, Loss: 0.48694533854722977
Epoch 9/1000, Loss: 0.23612606711685658
Epoch 10/1000, Loss: 0.08514158194884658
Epoch 11/1000, Loss: 0.03726142505183816
Epoch 12/1000, Loss: 0.031558762304484844
Epoch 13/1000, Loss: 0.028989930637180805
Epoch 14/1000, Loss: 0.02711499179713428
Epoch 15/1000, Loss: 0.026994557585567236
Epoch 16/1000, Loss: 0.026996050961315632
Epoch 17/1000, Loss: 0.026659521739929914
Epoch 18/1000, Loss: 0.026924863224849105
Epoch 19/1000, Loss: 0.026206471724435687
Epoch 20/1000, Loss: 0.026392168132588267
Epoch 21/1000, Loss: 0.025494887959212065
Epoch 22/1000, Loss: 0.025395909557119012
Epoch 23/1000, Loss: 0.025360591243952513
Epoch 24/1000, Loss: 0.025490127969533205
Epoch 25/1000, Loss: 0.024345246143639088
Epoch 26/1000, Loss: 0.02483795746229589
Epoch 27/1000, Loss: 0.02412099647335708
Epoch 28/1000, Loss: 0.024056640453636646
Epoch 29/1000, Loss: 0.023754053749144077
Epoch 30/1000, Loss: 0.023712835740298033
Epoch 31/1000, Loss: 0.026082276133820415
Epoch 32/1000, Loss: 0.025540173752233386
Epoch 33/1000, Loss: 0.02508100657723844
Epoch 34/1000, Loss: 0.024721876718103886
Epoch 35/1000, Loss: 0.02411317639052868
Epoch 36/1000, Loss: 0.02385819680057466
