/home/mmuhleth/discrete_diffusion_graph/utils/graphs.py:86: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_matrix = loss_matrix * (1-2*torch.tensor(sigma_list).unsqueeze(-1).unsqueeze(-2).expand(grad_log_q_noise_list.size(0),grad_log_q_noise_list.size(1),grad_log_q_noise_list.size(2)).to(device)+1.0/len(sigma_list))
/home/mmuhleth/miniconda3/envs/py38/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:156: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Epoch 1/2000, Loss: 0.1660439372062683
New best model saved with loss: 0.1660439372062683
Epoch 2/2000, Loss: 0.01739760326515687
New best model saved with loss: 0.01739760326515687
Epoch 3/2000, Loss: 0.01742822941588728
Epoch 4/2000, Loss: 0.01592079657865198
New best model saved with loss: 0.01592079657865198
Epoch 5/2000, Loss: 0.016072553876591355
Epoch 6/2000, Loss: 0.015829840674996376
New best model saved with loss: 0.015829840674996376
Epoch 7/2000, Loss: 0.01683437299767607
Epoch 8/2000, Loss: 0.015969308387292058
Epoch 9/2000, Loss: 0.015785557855116695
New best model saved with loss: 0.015785557855116695
Epoch 10/2000, Loss: 0.01593578959766187
Epoch 11/2000, Loss: 0.016117245596098274
Epoch 12/2000, Loss: 0.015439315159854135
New best model saved with loss: 0.015439315159854135
Epoch 13/2000, Loss: 0.015557989331060335
Epoch 14/2000, Loss: 0.015303772580074636
New best model saved with loss: 0.015303772580074636
Epoch 15/2000, Loss: 0.014762887682177518
New best model saved with loss: 0.014762887682177518
Epoch 16/2000, Loss: 0.016017980138330085
